City,Country,Lat,Lon,Date,Max Temp (cs),Humidity,Cloudiness,Wind Speed (mph)
Turan,VN,16.0678,108.2208,1622659867,31.03,74,20,1.03
Tottori-shi,JP,35.5,134.2333,1622659730,17.43,88,100,3.8
Yar-Sale,RU,66.8333,70.8333,1622659867,2.84,79,100,5.07
Hvolsvollur,IS,63.7533,-20.2243,1622659818,9.04,62,10,2.99
Bata,GQ,1.8639,9.7658,1622659868,25.92,94,40,0.0
Gunjur,GM,13.2019,-16.7339,1622659868,28.04,61,7,5.83
Saint-Pierre,RE,-21.3393,55.4781,1622659868,23.82,79,0,10.29
Chauk,MM,20.8833,94.8167,1622659869,30.21,63,6,4.61
Linxi,CN,39.7,118.4333,1622659869,16.97,49,100,3.66
Alta Floresta,BR,-9.8756,-56.0861,1622659869,34.9,31,20,2.06
Le Vauclin,MQ,14.5452,-60.8388,1622659869,30.07,61,20,6.0
Saint-Joseph,RE,-21.3667,55.6167,1622659870,23.21,81,95,6.96
Gaildorf,DE,49.0003,9.7695,1622659870,24.25,40,100,1.5
Ekhabi,RU,53.5102,142.9671,1622659870,6.69,95,30,2.84
Praia da Vitória,PT,38.7333,-27.0667,1622659871,19.14,59,20,3.63
Camacha,PT,33.0833,-16.3333,1622659811,17.68,59,40,5.66
Baykit,RU,61.67,96.37,1622659871,13.86,63,97,0.9
Tatarsk,RU,55.219,75.9828,1622659871,11.13,71,6,2.89
Port Hedland,AU,-20.3167,118.5667,1622659872,21.03,37,100,4.63
Karratha,AU,-20.7377,116.8463,1622659872,21.31,35,100,7.42
Waipawa,NZ,-41.4122,175.5153,1622659873,7.74,87,0,1.86
Aquiraz,BR,-3.9014,-38.3911,1622659873,30.05,70,2,4.48
Malartic,CA,48.1335,-78.1328,1622659873,24.06,42,100,4.43
San Rafael,AR,-34.6177,-68.3301,1622659873,16.27,50,37,3.56
High Level,CA,58.5169,-117.136,1622659845,23.06,43,75,1.8
Rawson,AR,-43.3002,-65.1023,1622659854,9.98,52,100,5.54
Riyadh,SA,24.6877,46.7219,1622659874,36.08,8,0,2.57
Mednogorsk,RU,51.4128,57.595,1622659874,19.28,50,91,3.06
Podbrdo,BA,44.4408,17.0139,1622659743,13.75,84,12,0.49
Bayir,TR,37.2687,28.2167,1622659875,17.29,58,3,2.83
Tynda,RU,55.1667,124.7167,1622659875,6.04,94,53,1.6
Aksu,CN,41.1231,80.2644,1622659875,23.18,36,100,5.68
Havre-St-Pierre,CA,50.2334,-63.5986,1622659876,15.2,58,1,12.86
Bam,IR,29.106,58.357,1622659876,35.33,6,9,2.94
Namatanai,PG,-3.6667,152.4333,1622659876,25.66,84,83,1.76
Prata,BR,-19.3072,-48.9242,1622659747,27.44,35,100,1.31
Kasempa,ZM,-13.4584,25.8338,1622659877,19.73,40,90,1.02
Port Maria,JM,18.3685,-76.8895,1622659877,29.98,80,47,6.36
Thanh Hoa,VN,19.8,105.7667,1622659736,28.68,84,95,1.43
Binga,ZW,-17.6203,27.3414,1622659877,18.93,47,1,0.77
Pankrushikha,RU,53.8319,80.3406,1622659878,15.41,94,38,3.6
Acambay,MX,19.9558,-99.8417,1622659878,18.55,52,100,3.8
Viesca,MX,25.35,-102.8,1622659878,28.02,35,83,1.44
La Rioja,ES,42.25,-2.5,1622659879,21.88,59,77,2.66
Soyo,AO,-6.1349,12.3689,1622659879,27.03,86,1,3.25
Edéa,CM,3.8,10.1333,1622659879,24.88,96,100,0.5
La Asuncion,VE,11.0333,-63.8628,1622659880,22.85,88,61,5.26
Sitka,US,57.0531,-135.33,1622659880,9.94,87,90,4.63
Adrar,MR,20.5022,-10.0711,1622659880,36.1,20,100,7.14
Ixtapa,MX,20.7,-105.2,1622659881,36.3,34,100,4.33
Chaohu,CN,31.6,117.8667,1622659881,26.13,92,100,1.56
Bud,US,39.447,-86.1758,1622659881,19.01,97,100,4.84
Whitianga,NZ,-36.8333,175.7,1622659882,10.57,82,79,1.95
Champerico,GT,14.3,-91.9167,1622659882,33.76,64,83,4.21
Kermen,BG,42.5,26.25,1622659882,14.9,88,75,3.09
Trairi,BR,-3.2778,-39.2689,1622659682,28.06,71,14,5.13
Igarka,RU,67.4667,86.5833,1622659883,0.58,100,100,2.95
Vinhedo,BR,-23.0297,-46.9753,1622659883,26.58,39,0,2.49
Mazamet,FR,43.49,2.373,1622659883,18.79,76,0,4.77
Aswān,EG,24.0934,32.907,1622659884,34.55,13,1,8.73
Escárcega,MX,18.6089,-90.7454,1622659884,37.45,26,11,1.67
Arman',RU,59.7,150.1667,1622659884,4.43,91,51,0.17
Suntar,RU,62.1444,117.6319,1622659885,14.41,71,91,2.51
Kostomuksha,RU,64.571,30.5767,1622659885,15.94,49,100,1.27
Boguchar,RU,49.9358,40.545,1622659885,14.0,93,100,8.94
Lamesa,US,32.7376,-101.951,1622659886,27.59,43,11,1.85
El Carmen,CO,8.5106,-73.4478,1622659886,27.83,64,86,1.23
Tamandaré,BR,-8.7597,-35.1047,1622659886,26.73,69,7,3.99
Medina del Campo,ES,41.3124,-4.9141,1622659887,24.24,33,93,4.17
Ossora,RU,59.2353,163.0719,1622659887,7.59,62,100,1.65
Izsófalva,HU,48.3,20.6667,1622659887,15.28,66,100,2.01
Bose,IT,45.4612,8.0137,1622659888,19.3,80,68,1.43
Kem',RU,64.9555,34.5793,1622659888,12.64,61,45,1.45
Husavik,IS,66.0449,-17.3389,1622659888,12.95,77,38,2.29
Shimoda,JP,34.6667,138.95,1622659889,18.98,88,6,3.06
Port Lincoln,AU,-34.7333,135.8667,1622659889,15.3,77,78,6.32
Bairiki Village,KI,1.3292,172.9752,1622659889,26.0,89,75,7.67
Rassvet,RU,46.8333,40.75,1622659889,17.8,90,100,5.0
Merrill,US,45.1805,-89.6835,1622659890,24.87,46,90,5.14
San Luis de Palenque,CO,5.4214,-71.7317,1622659890,28.84,66,90,3.02
Lukulu,ZM,-14.3707,23.242,1622659890,18.02,41,67,2.51
Matara,LK,5.9485,80.5353,1622659891,26.43,86,99,5.11
Nuuk,GL,64.1835,-51.7216,1622659891,5.49,70,100,7.15
Metro,ID,-5.1131,105.3067,1622659891,24.18,88,100,2.32
Bang Krathum,TH,16.5783,100.3003,1622659892,29.43,69,28,2.19
Morondava,MG,-20.2833,44.2833,1622659892,23.12,77,33,3.67
Americana,BR,-22.7392,-47.3314,1622659892,27.61,30,6,3.32
Yangjiang,CN,21.85,111.9667,1622659893,27.24,93,99,2.91
Janów Lubelski,PL,50.707,22.4104,1622659893,16.24,61,100,1.81
Port Hardy,CA,50.6996,-127.4199,1622659893,16.1,88,75,3.09
Dvinskoy,RU,62.1535,45.1175,1622659894,9.5,88,98,2.0
Sakaiminato,JP,35.55,133.2333,1622659894,18.99,77,20,2.57
Palmer,US,42.1584,-72.3287,1622659894,27.72,37,90,0.89
Mindelo,CV,16.8901,-24.9804,1622659895,25.75,61,75,7.58
Kaili,ID,-3.4626,120.2147,1622659895,19.55,88,92,1.22
Margate,GB,51.3813,1.3862,1622659658,19.3,86,19,4.08
Arrondissement de Rennes,FR,48.1667,-1.6667,1622659895,19.18,72,53,4.9
Honningsvåg,NO,70.9821,25.9704,1622659896,8.5,76,0,2.88
Honiara,SB,-9.4333,159.95,1622659896,25.4,82,98,1.87
Challapata,BO,-18.9,-66.7667,1622659896,10.61,22,100,1.8
Huarmey,PE,-10.0681,-78.1522,1622659897,21.5,72,93,4.12
Bubaque,GW,11.2833,-15.8333,1622659897,26.68,77,11,7.56
Bull Savanna,JM,17.8868,-77.5902,1622659897,28.84,61,2,8.13
Kamenka,RU,51.3223,42.7678,1622659898,15.73,65,100,8.07
Flinders,AU,-34.5833,150.8552,1622659898,12.43,83,100,0.45
Montorio al Vomano,IT,42.5831,13.6383,1622659898,20.59,65,69,1.85
Mountain Home,US,43.133,-115.6912,1622659839,29.71,21,20,4.9
Jalu,LY,29.0331,21.5482,1622659899,30.13,24,5,4.97
Carutapera,BR,-1.195,-46.02,1622659899,27.78,81,16,3.64
Luanda,AO,-8.8368,13.2343,1622659807,25.0,83,0,3.09
Sri Aman,MY,1.2376,111.4621,1622659899,25.05,94,98,0.0
Mahébourg,MU,-20.4081,57.7,1622659900,24.58,69,40,5.66
Havøysund,NO,70.9963,24.6622,1622659900,16.49,78,0,4.12
Tutóia,BR,-2.7619,-42.2744,1622659900,30.99,77,99,3.84
Nizhnyaya Tavda,RU,57.6731,66.1725,1622659901,8.99,56,91,2.02
Cowra,AU,-33.8333,148.6833,1622659901,13.48,87,100,1.35
Iquique,CL,-20.2208,-70.1431,1622659438,17.02,75,92,1.68
City of San Pedro,PH,14.35,121.0167,1622659901,27.31,94,90,4.46
Barentu,ER,15.1139,37.5928,1622659902,32.54,14,66,3.97
Hwange,ZW,-18.3693,26.5019,1622659902,17.37,29,2,3.13
Le Port,RE,-20.9373,55.2919,1622659902,24.0,90,97,3.64
Dunedin,NZ,-45.8742,170.5036,1622659903,8.22,87,5,0.45
Sete Lagoas,BR,-19.4658,-44.2467,1622659903,28.07,38,100,1.16
Sakakah,SA,29.9697,40.2064,1622659903,33.76,14,0,4.9
Faya,SA,18.3851,42.4509,1622659903,26.29,20,84,3.8
Kashgar,CN,39.4547,75.9797,1622659904,26.24,31,82,8.14
Khilok,RU,51.3674,110.4676,1622659904,5.67,96,83,1.66
Mehamn,NO,71.0357,27.8492,1622659905,16.95,62,8,5.38
Tongzi,CN,28.7829,105.0877,1622659905,22.71,88,100,2.72
Christchurch,NZ,-43.5333,172.6333,1622659819,3.9,100,2,2.06
Macaúbas,BR,-13.0194,-42.6986,1622659905,30.84,25,35,1.55
Sept-Îles,CA,50.2001,-66.3821,1622659906,22.29,21,75,8.23
Padre Bernardo,BR,-15.35,-48.5,1622659906,31.32,25,31,1.95
Kommunar,RU,59.6206,30.39,1622659906,16.74,71,18,2.59
Iwanai,JP,42.9744,140.5089,1622659906,12.28,83,98,2.57
Marsh Harbour,BS,26.5412,-77.0636,1622659907,25.62,82,99,8.87
Bonfim,BR,3.0833,-59.95,1622659907,29.63,67,83,1.64
Westport,US,41.1415,-73.3579,1622659907,26.35,59,1,0.89
Melito di Porto Salvo,IT,37.9222,15.7714,1622659908,22.3,78,75,1.34
Kahului,US,20.8947,-156.47,1622659908,28.25,58,20,7.2
Cobija,BO,-11.0267,-68.7692,1622659908,30.1,74,75,2.57
Caucayá,CO,-0.1934,-74.7819,1622659909,27.75,79,53,1.65
Lagoa,PT,39.05,-27.9833,1622659909,15.26,63,42,3.04
Ekenäs,FI,59.9736,23.4339,1622659909,18.83,69,6,1.13
Esperance,AU,-33.8667,121.9,1622659910,13.91,74,73,3.79
Batagay-Alyta,RU,67.8006,130.4114,1622659910,12.98,44,17,1.6
Port-Gentil,GA,-0.7193,8.7815,1622659648,26.98,78,90,3.6
Farīdkot,IN,30.6667,74.75,1622659910,30.61,40,19,4.66
Prince Rupert,CA,54.3161,-130.3201,1622659911,14.05,100,90,4.12
Vila do Maio,CV,15.1333,-23.2167,1622659911,26.44,85,14,6.19
Yeniseysk,RU,58.4497,92.1703,1622659911,13.52,86,100,0.98
Garoowe,SO,8.4054,48.4845,1622659912,28.82,45,100,8.26
Rāzole,IN,16.4833,81.8333,1622659912,28.73,83,4,1.66
Kieta,PG,-6.2167,155.6333,1622659652,25.81,83,86,1.1
Hasaki,JP,35.7333,140.8333,1622659913,18.16,79,9,3.21
Balkanabat,TM,39.5108,54.3671,1622659913,34.96,17,0,2.15
Casper,US,42.8666,-106.3131,1622659913,24.89,25,1,2.24
Teruel,ES,40.6667,-0.6667,1622659914,17.98,65,49,3.8
Tūkrah,LY,32.5341,20.5791,1622659914,22.25,51,66,6.25
Camalú,MX,30.85,-116.0667,1622659914,24.68,64,22,3.98
Zonguldak,TR,41.25,31.8333,1622659915,8.15,94,99,2.27
Prainha,BR,-1.8,-53.48,1622659915,30.83,57,31,1.62
Rincon,US,32.296,-81.2354,1622659915,30.95,83,75,2.65
Okha,RU,53.5739,142.9478,1622659916,5.64,96,50,2.95
Abhā,SA,18.2164,42.5053,1622659916,26.14,10,0,4.03
Buckingham,GB,51.9997,-0.9878,1622659916,22.72,59,100,3.42
Porto Santo,PT,33.072,-16.3415,1622659917,19.21,59,40,5.66
Doha,QA,25.2867,51.5333,1622659854,34.99,28,0,3.6
Alihe,CN,50.5667,123.7167,1622659917,7.34,97,100,1.41
Cedar City,US,37.6775,-113.0619,1622659917,31.33,8,1,2.57
Touros,BR,-5.1989,-35.4608,1622659630,30.5,67,4,6.89
Barranca,PE,-10.75,-77.7667,1622659918,20.62,70,74,3.44
Djebeniana,TN,35.035,10.9081,1622659918,23.89,82,100,4.05
Medvezh'yegorsk,RU,62.9167,34.4667,1622659918,13.51,64,97,2.03
Bilma,NE,18.6853,12.9164,1622659919,35.15,9,15,1.88
Gazojak,TM,41.1875,61.4036,1622659919,32.9,19,0,4.9
Klaksvík,FO,62.2266,-6.589,1622659919,10.51,95,100,3.82
Sonoita,MX,31.85,-112.8333,1622659919,36.41,13,6,4.53
Naivasha,KE,-0.7167,36.4359,1622659920,16.17,91,38,1.99
Noumea,NC,-22.2763,166.4572,1622659920,19.44,99,39,2.87
Henties Bay,NA,-22.116,14.2845,1622659921,17.7,55,0,3.81
Oranjemund,NA,-28.55,16.4333,1622659921,15.06,61,0,5.88
